iteration,time
0,25.79
1,23.038
2,21.967
3,22.084
4,23.027
5,22.551
6,22.573
7,22.723
8,22.974
9,23.336
10,23.147
11,23.274
12,23.247
13,23.279
14,23.262
15,23.221
16,23.224
17,23.185
18,23.227
19,23.714
20,23.354
21,23.315
22,23.253
23,23.265
24,23.263
25,23.306
26,23.262
27,23.286
28,23.287
29,23.319
