iteration,time
0,25.032
1,20.048
2,19.994
3,20.036
4,19.979
5,19.992
6,20.068
7,20.007
8,20.031
9,20.479
10,20.262
11,20.227
12,20.279
13,20.07
14,19.744
15,19.804
16,19.763
17,19.709
18,20.304
19,20.327
20,19.988
21,19.901
22,20.121
23,19.969
24,20.121
25,19.967
26,20.135
27,19.984
28,19.817
29,19.89
