iteration,time
0,17.72
1,15.662
2,15.659
3,15.716
4,15.476
5,15.321
6,15.381
7,15.346
8,15.351
9,15.424
10,15.316
11,15.389
12,15.306
13,15.314
14,15.322
15,15.358
16,15.635
17,15.33
18,15.323
19,15.32
20,15.329
21,15.314
22,15.337
23,15.391
24,15.301
25,15.289
26,15.388
27,15.369
28,15.38
29,15.313
