iteration,time
0,78.451
1,70.362
2,69.807
3,69.568
4,69.599
5,70.876
6,72.358
7,68.952
8,69.111
9,69.18
10,69.229
11,71.987
12,68.697
13,68.813
14,68.966
15,69.084
16,69.234
17,69.376
18,69.188
19,69.231
20,69.233
21,69.311
22,69.347
23,69.359
24,69.364
25,69.426
26,69.431
27,69.434
28,69.411
29,69.469
