iteration,time
0,16.995
1,14.271
2,13.796
3,13.806
4,14.002
5,13.948
6,14.079
7,14.094
8,14.057
9,14.085
10,14.131
11,14.125
12,14.207
13,14.528
14,14.288
15,14.233
16,14.204
17,14.295
18,14.301
19,14.301
20,14.405
21,14.311
22,14.297
23,14.496
24,15.058
25,14.988
26,14.403
27,14.471
28,14.346
29,14.332
