iteration,time
0,23.613
1,21.173
2,19.664
3,18.986
4,18.992
5,18.845
6,18.835
7,18.86
8,19.084
9,19.106
10,19.286
11,19.347
12,19.735
13,19.474
14,19.474
15,19.518
16,19.665
17,19.156
18,18.928
19,18.982
20,19.008
21,18.987
22,19.377
23,19.648
24,19.519
25,19.545
26,19.645
27,19.668
28,19.616
29,19.821
