iteration,time
0,25.969
1,19.767
2,19.661
3,20.067
4,19.211
5,19.186
6,19.211
7,19.219
8,19.238
9,19.372
10,19.532
11,19.673
12,19.76
13,19.86
14,19.854
15,19.884
16,19.936
17,19.985
18,20.043
19,20.4
20,20.538
21,20.397
22,20.49
23,20.946
24,20.86
25,20.932
26,20.944
27,21.088
28,21.208
29,21.332
